Area,Value,,,Total Population,Vegetable per capita
Afghanistan,742001,742001000,37171.921,37171921,19.96133049
Armenia,560298,560298000,2951.745,2951745,189.8192425
Azerbaijan,1525618,1525618000,9949.537,9949537,153.3355773
Bahrain,15279,15279000,1569.446,1569446,9.735282386
Bangladesh,5459502,5459502000,161376.708,161376708,33.83079298
Bhutan,30880,30880000,754.388,754388,40.93384306
Brunei Darussalam,10626,10626000,428.963,428963,24.77136723
Cambodia,679522,679522000,16249.792,16249792,41.81727372
China,548993011,5.49E+11,1427647.786,1427647786,384.5437344
Cyprus,60400,60400000,1189.265,1189265,50.78767138
Democratic People's Republic of Korea,3289314,3289314000,25549.604,25549604,128.7422694
Georgia,142100,142100000,4002.942,4002942,35.49889057
India,128243182,1.28E+11,1352642.28,1352642280,94.80938449
Indonesia,11510309,11510309000,267670.543,267670543,43.001777
Iran,15071393,15071393000,81800.188,81800188,184.2464347
Iraq,950787,950787000,38433.6,38433600,24.738432
Israel,1379597,1379597000,8381.516,8381516,164.5999363
Japan,9697234,9697234000,127202.192,127202192,76.23480262
Jordan,1614504,1614504000,9965.318,9965318,162.012291
Kazakhstan,4014899,4014899000,18319.618,18319618,219.1584453
Kuwait,308082,308082000,4137.312,4137312,74.46428986
Kyrgyzstan,1075818,1075818000,6304.03,6304030,170.6555965
Lao People's Democratic Republic,1477283,1477283000,7061.507,7061507,209.2022284
Lebanon,815436,815436000,6859.408,6859408,118.8784805
Malaysia,1158811,1158811000,31528.033,31528033,36.75494123
Maldives,2561,2561000,515.696,515696,4.966104061
Mongolia,101032,101032000,3170.216,3170216,31.86912185
Myanmar,4917050,4917050000,53708.32,53708320,91.55099247
Nepal,3971515,3971515000,28095.714,28095714,141.356614
Oman,547711,547711000,4829.473,4829473,113.4100967
Pakistan,5458237,5458237000,212228.286,212228286,25.71870651
Palestine,642871,642871000,4862.979,4862979,132.1969517
Philippines,6751152,6751152000,106651.394,106651394,63.30111353
Qatar,49442,49442000,2781.682,2781682,17.77413809
Republic of Korea,9798089,9798089000,51171.706,51171706,191.474738
Saudi Arabia,735212,735212000,33702.756,33702756,21.81459582
Singapore,26839,26839000,5757.499,5757499,4.661572672
Sri Lanka,969244,969244000,21228.763,21228763,45.65711153
Syrian Arab Republic,1708193,1708193000,16945.057,16945057,100.8077459
Tajikistan,2166093,2166093000,9100.835,9100835,238.0103584
Thailand,2709248,2709248000,69428.453,69428453,39.0221571
Timor-Leste,34717,34717000,1267.974,1267974,27.37989896
Turkey,24137627,24137627000,82340.088,82340088,293.1455089
Turkmenistan,683001,683001000,5850.901,5850901,116.7343286
United Arab Emirates,302114,302114000,9630.959,9630959,31.36904643
Uzbekistan,9126688,9126688000,32476.244,32476244,281.0265867
Viet Nam,16317032,16317032000,95545.962,95545962,170.7767828
Yemen,440216,440216000,28498.683,28498683,15.44688925
